,Country,2019,2020,2021,2022,2023,2024
101,"Korea, South",44102.24075217899,46117.09657458188,50873.788105291685,46365.420707415724,47801.863038878735,47571.318596722755
102,Mongolia,93.98048033682214,95.5945941377913,97.19468171341198,89.80131374453363,111.46704198602069,180.843441375323
103,Taiwan,10993.171742014822,12029.571535275345,13932.664756446991,15261.446437325107,16344.564791689405,16475.00879807408
104,South East Asia,,,,,,
105,Brunei,414.72873900293257,436.5482233502538,453.3377986157625,435.85735115960216,448.9114907294426,558.6082089552237
106,Cambodia,595.4076176677853,621.3293268324036,630.4072550271164,618.6894020347119,667.9857331584851,720.543532173392
107,Indonesia,8154.2447676185575,9386.95671764656,8802.514800450364,10133.923494136328,11258.797569510034,11042.843809908181
108,Laos,...,...,...,...,...,...
109,Malaysia,3265.2814689538536,3374.5835316515945,3675.4890123158657,3673.788247833662,3925.419274890087,4312.858466811218
110,Myanmar,1532.0771460097578,2498.2291379385424,2642.7255086032546,2489.9059866877787,2493.4864513424823,5011.272415126733
111,Philippines,4268.129892722529,4693.073497108079,5546.091354063002,5321.933197646216,5142.604807858253,6117.535232861855
112,Singapore,10402.58431085044,9801.649746192894,11017.572598659717,11996.55057345356,14181.464336746845,15061.025802203067
113,Thailand,7091.211579585714,7295.66954298498,7123.128719072973,6030.95005663075,5745.692331574045,5522.411647480037
114,Timor Leste,34.4,38.456,39.222,44.311,55.111000000000004,46.4
115,Viet Nam,...,...,...,...,...,...
116,Central Asia,,,,,,
117,Kazakhstan,1853.499708868923,1548.1757749091753,1617.7933749973538,1163.0539942791354,1164.302584933854,1208.9679058981856
118,Kyrgyz Republic,254.03077893047518,258.288068196585,262.7001098758285,352.1328098310123,483.86868842276806,473.0466608752266
119,Tajikistan,82.7683912267814,77.49756572541384,89.9920078145813,203.9420832955756,285.06344990408735,246.39347302058226
120,Turkmenistan,...,...,...,...,...,...
121,Uzbekistan,...,...,...,...,...,...
122,Europe,,,,,,
123,Central Europe,,,,,,
124,Albania,197.22591331889257,196.5963089844182,222.81454011666085,228.6931596237378,397.61761306954554,535.4725592068793
125,Bosnia and Herzegovina,165.36920435031482,167.52186588921282,209.7218863361548,184.48479933661622,197.33251579831193,215.9748685076517
126,Bulgaria,2158.5575271894672,1119.0115398065043,1275.2448905550855,1436.9013695197298,1989.7034778381724,2329.8342541436464
127,Croatia,985.7625515255588,981.3893288335565,1360.3460034644795,1282.1106128046986,1439.0603324964022,1629.0556020690954
128,Czechia,2910.2524966202955,3252.505061818808,3935.6309650053026,4005.428325664086,5056.277310052805,6524.946704278731
129,Czechoslovakia,xxx,xxx,xxx,xxx,xxx,xxx
130,Estonia,637.0353784146887,718.1123902883847,748.5808893093661,818.2789637096434,1235.9497149969102,1441.9197327743057
131,German Democratic Republic,xxx,xxx,xxx,xxx,xxx,xxx
132,Hungary,2190.6285918798567,2768.3725371738155,2409.58900947425,3256.8171909974417,4355.478069889931,4734.698455688237
133,Kosovo,65.70532915360502,78.96500626923515,79.60974456007568,107.60158018292427,133.18546592279202,165.5546685531693
134,Latvia,691.8943125839678,742.0494699646644,823.0842005676442,856.1427717990358,1253.7964399462405,1425.694079367243
